id,name,lat,lon,borough,description
41,Fieldston,40.894,-73.903,Bronx,"Fieldston is a privately owned affluent neighborhood in the Riverdale section of the northwestern part of the New York City borough of the Bronx. It is bounded by Manhattan College Parkway to the south, Henry Hudson Parkway to the west, 250th Street to the north, and Broadway to the east.  It is noted for its rural atmosphere, large houses and abundance of trees.  The majority of the neighborhood is included in the Fieldston Historic District, designated by the New York City Landmarks Preservation Commission in 2006.The area is home to two of the three prestigious ""Hill Schools"", the Horace Mann School and the Ethical Culture Fieldston School; the third, Riverdale Country School, lies just outside Fieldston to the north.  Manhattan College is located on Manhattan College Parkway, the neighborhood's southern boundary."
42,Fordham,40.859,-73.898,Bronx,"Fordham is a neighborhood located in the western Bronx, New York City. Fordham is roughly bordered by East 196th Street to the north, Webster Avenue to the east, Burnside Avenue to the south, and Jerome Avenue to the west. The neighborhood's primary thoroughfares are Fordham Road and Grand Concourse.
Fordham is located within Bronx Community Board 5 and Bronx Community Board 7, and its ZIP Codes include 10453, 10457, 10458 and 10468. Its main subway line is the IND Concourse Line (B and ​D trains), operating under the Grand Concourse, with the IRT Jerome Avenue Line (4 train) on its western border.  The area is patrolled by the New York City Police Department's 46th Precinct. New York City Housing Authority (NYCHA) property in the area is patrolled by P.S.A. 7 at 737 Melrose Avenue in the Melrose section of the Bronx."
43,Hunts Point,40.813,-73.884,Bronx,"Hunts Point is a neighborhood located on a peninsula in the South Bronx of New York City. It is the location of one of the largest food distribution facilities in the world, the Hunts Point Cooperative Market. Its boundaries are the Bruckner Expressway to the west and north, the Bronx River to the east, and the East River to the south. Hunts Point Avenue is the primary street through Hunts Point.
The neighborhood is part of Bronx Community District 2, and its ZIP Code is 10474. The neighborhood is served by the New York City Police Department's 41st Precinct. NYCHA property in the area is patrolled by P.S.A. 7 at 737 Melrose Avenue located in the Melrose section of the Bronx."
44,Kingsbridge,40.879,-73.905,Bronx,"Kingsbridge is a working- and middle-class residential neighborhood in the northwest portion of the Bronx, New York City. Kingsbridge's boundaries are Manhattan College Parkway to the north, the Major Deegan Expressway or Bailey Avenue to the east, West 230th Street to the south, and Irwin Avenue to the west.
The neighborhood is part of Bronx Community Board 8 and its ZIP Code is 10463. Kingsbridge is patrolled by the New York City Police Department's 50th Precinct."
45,Kingsbridge Heights,40.872,-73.902,Bronx,"Kingsbridge Heights is a working class residential neighborhood geographically located in the northwest Bronx, New York City. Its boundaries are Van Cortlandt Park to the north, Jerome Avenue to the east, Kingsbridge Road to the south, and the Major Deegan Expressway to the west. Sedgwick Avenue is the primary thoroughfare through Kingsbridge Heights.
The neighborhood is part of Bronx Community District 8, and its ZIP Codes include 10463 and 10468. The area is patrolled by the 50th and 52nd Precincts of the New York City Police Department. NYCHA property in the area is patrolled by P.S.A. 8 at 2794 Randall Avenue in the Throgs Neck section of the Bronx."
46,Melrose,40.825,-73.91,Bronx,"Melrose is a mostly residential neighborhood in the southwestern section of the New York City borough of the Bronx. It adjoins the business and one-time theater area known as The Hub. Melrose is rectangular-shaped, being bordered by Third Avenue on the east, 149th Street on the south, Park Avenue on the west and 161st Street to the north. Melrose Avenue and Third Avenue are the primary thoroughfares through Melrose.
The neighborhood is part of Bronx Community Board 1, and its ZIP Codes include 10451, 10455 and 10456. The area is patrolled by the New York City Police Department's 40th Precinct. New York City Housing Authority (NYCHA) property in the area is patrolled by P.S.A. 7 at 737 Melrose Avenue.
Predominantly German-American in the 19th century it was home to Haffen Brewing Company. The German population waned especially post-WWII. The neighborhood until the 1960s was mostly Irish and Italian. It is now primarily Latino.
Grupo TACA operates a Bronx-area TACA Satellite at 570 Melrose Avenue. Melrose is considered part of the socioeconomic South Bronx."
47,Morris Heights,40.85,-73.92,Bronx,"Morris Heights is a residential neighborhood located in the West Bronx. Its boundaries, starting from the north and moving clockwise are: West Burnside Avenue to the north, Jerome Avenue to the east, the Cross-Bronx Expressway to the south, and the Harlem River to the west. University Avenue is the primary thoroughfare through Morris Heights.
The neighborhood is part of Bronx Community Board 5, and its ZIP Codes include 10453 and 10452. The area is patrolled by the New York City Police Department's 46th Precinct. New York City Housing Authority (NYCHA) property in the area is patrolled by P.S.A. 7 at 737 Melrose Avenue in the Melrose section of the Bronx."
48,Morris Park,40.852,-73.853,Bronx,"Morris Park is a  neighborhood in the New York City borough of the Bronx. Its approximate boundaries, starting from the north and moving clockwise, are Neill Avenue and Pelham Parkway to the north, Eastchester Road to the East, the Amtrak Northeast Corridor tracks and Sackett Avenue to the east and south, and Bronxdale Avenue or White Plains Road to the west. It borders the neighborhoods of Van Nest to its southwest and Pelham Parkway to its northeast. Williamsbridge Road and Morris Park Avenue are the primary thoroughfares. 
The neighborhood is part of Bronx Community District 11 in the East Bronx, and its ZIP Codes include 10461 and 10462. The area is patrolled by the 49th Precinct of the New York City Police Department, located at 2121 Eastchester Road. The local subway is the IRT Dyre Avenue Line (5 train), which runs under the Esplanade. The neighborhood has a large Albanian American and Italian American population."
49,Mott Haven,40.81,-73.926,Bronx,"Mott Haven is a primarily residential neighborhood in the southwestern section of the New York City borough of the Bronx. Its boundaries, starting from the north and moving clockwise, are East 149th Street to the north, the Bruckner Expressway to the east, the Bronx Kill waterway to the south, and the Harlem River to the west. East 138th Street is the primary east–west thoroughfare through Mott Haven.
The neighborhood is part of Bronx Community Board 1, and is located within ZIP Codes 10451, 10454, and 10455. Mott Haven is patrolled by the New York City Police Department's 40th Precinct.The local subway line is the IRT Pelham Line (6 and <6>​ trains), operating along East 138th Street. The local buses are the Bx1, Bx2, Bx15, Bx17, Bx19, Bx21, Bx32, Bx33. Mott Haven is served by the Triborough Bridge, the Third Avenue Bridge, the Madison Avenue Bridge, the 145th Street Bridge, and the Willis Avenue Bridge. The closest Metro-North Railroad stops are Harlem – 125th Street and Yankees – East 153rd Street."
50,Parkchester,40.839,-73.86,Bronx,"Parkchester is a planned community originally developed by the Metropolitan Life Insurance Company and located in the central Bronx, New York City. The immediate surrounding area also takes its name from the complex. Its boundaries, starting from the north and moving clockwise, are East Tremont Avenue to the north, Castle Hill Avenue to the east, Westchester Avenue to the south, East 177th Street/Cross Bronx Expressway to the southwest, and the Bronx River Parkway to the west. Metropolitan Avenue, Unionport Road, and White Plains Road are the primary thoroughfares through Parkchester.
The neighborhood is part of Bronx Community District 9 and is mostly located within ZIP Code 10462, with small sections in 10460 and 10461. The 6 and <6>​ trains of the New York City Subway operate along Westchester Avenue. The neighborhood is patrolled by the New York City Police Department's 43rd Precinct. The privately owned housing complex is patrolled by the Parkchester Department of Public Safety."
51,Pelham Bay,40.851,-73.833,Bronx,"Pelham Bay is a middle class residential neighborhood in the borough of the Bronx, in New York City. It is named for Pelham Bay Park, New York City's largest park, which lies on the neighborhood's northeastern border; and for Pelham Bay, a body of water in that park. The neighborhood is bounded roughly by Pelham Parkway on the north, the New England Thruway (I-95) on the east, the Bruckner Expressway (I-95) on the south, and the Hutchinson River Parkway on the west.
Pelham Bay is part of Bronx Community District 10, and its ZIP Code is 10461. Pelham Bay is patrolled by the 45th Precinct of the New York City Police Department."
52,Pelham Gardens,40.861,-73.845,Bronx,"Pelham Gardens is a neighborhood located in the Northeast section of the Bronx, New York City. Its boundaries, starting from the north and moving clockwise are East Gun Hill Road to the north and east, Pelham Parkway to the south, and the Dyre Avenue subway (5 train) to the west. Eastchester Road is the primary thoroughfare through Pelham Gardens.
Pelham Gardens is located in Bronx Community Board 11, and its ZIP Code is 10469. The area is patrolled by the New York City Police Department's 49th Precinct."
53,Pelham Parkway,40.858,-73.856,Bronx,"Pelham Parkway is a working- and middle-class residential neighborhood geographically located in the center of the Bronx, a borough of New York City in the United States. Its boundaries, starting from the north and moving clockwise are: Waring Avenue to the north, the IRT Dyre Avenue Line tracks (5 train) to the east, Neill Avenue to the South, and Bronx River Parkway to the west. White Plains Road is the primary commercial thoroughfare through Pelham Parkway. The neighborhood is named after Pelham Parkway, a major west-east parkway that travels through the East Bronx.
Pelham Parkway is part of Bronx Community District 11 and its primary ZIP Codes are 10461 and 10462. It is patrolled by the New York City Police Department's 49th Precinct.

"
54,Port Morris,40.802,-73.91,Bronx,"Port Morris is a mixed use, primarily industrial neighborhood geographically located in the southwest Bronx, New York City. The neighborhood is part of Bronx Community Board 1. Its boundaries are the Major Deegan Expressway and Bruckner Expressway to the north, East 149th Street to the east, the East River to the southeast, the Bronx Kill to the south, and the Harlem River to the west. Its ZIP Code is 10454. The neighborhood is served by the NYPD's 40th Precinct.Oak Point, the southern tip of the South Bronx is in Port Morris. The area is also traversed by the Bruckner Expressway, a major freeway. Most of the neighborhood is within walking distance from the Cypress Avenue station of the IRT Pelham Line (6 train)."
55,Riverdale,40.894,-73.913,Bronx,"Riverdale is a residential neighborhood in the northwest portion of the Bronx, a borough in New York City. Riverdale, which has a population of 47,850 as of the 2000 United States Census, contains the northernmost point in New York City. Riverdale's boundaries are disputed, but it is commonly agreed to be bordered by Yonkers to the north, Van Cortlandt Park and Broadway to the east, the Kingsbridge neighborhood to the southeast, either the Harlem River or the Spuyten Duyvil neighborhood to the south, and the Hudson River to the west. Riverdale Avenue is the primary north–south thoroughfare through Riverdale.The neighborhood is part of Bronx Community District 8, and its ZIP Codes include 10463 and 10471. The area is patrolled by the 50th Precinct of the New York City Police Department."
56,Soundview,40.816,-73.868,Bronx,"Soundview is a neighborhood on the Clason Point peninsula, on the southern section of the borough of the Bronx in New York City. Its boundaries, starting from the North and moving clockwise are the Cross-Bronx Expressway to the north, White Plains Road to the east, Lacombe Avenue to the south, and the Bronx River to the west. The Bruckner Expressway bisects the neighborhood horizontally along the center and the Bronx River Parkway runs north to south. Soundview Avenue is the primary thoroughfare through Soundview."
57,Throgs Neck,40.823,-73.82,Bronx,"Throggs Neck (also known as Throgs Neck) is a neighborhood and peninsula in the southeastern portion of the borough of the Bronx in New York City. It is bounded by the East River and Long Island Sound to the south and east, Westchester Creek on the west, and Baisley Avenue and the Bruckner Expressway on the north.
The neighborhood is part of Bronx Community District 10, and its ZIP Code is 10465. Throggs Neck is patrolled by the 45th Precinct of the New York City Police Department."
58,Tremont,40.85,-73.906,Bronx,"Tremont is a residential neighborhood in the West Bronx, New York City. Its boundaries are East 181st Street to the north, Third Avenue to the east, the Cross-Bronx Expressway to the south, and the Grand Concourse to the west. East Tremont Avenue is the primary thoroughfare through Tremont.
The neighborhood is part of Bronx Community Board 6, and its ZIP Codes include 10453 and 10457. The local subway is the IND Concourse Line (B and ​D trains), operating along the Grand Concourse. The area is patrolled by the NYPD's 48th Precinct."
59,University Heights,40.86,-73.909,Bronx,"University Heights is a neighborhood of the West Bronx in New York City. Its boundaries, starting from the north and moving clockwise, are: West Fordham Road to the north, Jerome Avenue to the east, West Burnside Avenue to the south and the Harlem River to the west. University Avenue is the primary thoroughfare in University Heights.
The neighborhood is mostly part of Bronx Community Board 5, with a small portion in Community Board 7. Its ZIP Codes include 10453 and 10468. The nearest subway is the IRT Jerome Avenue Line (4 train), operating along Jerome Avenue. The area is patrolled by the New York City Police Department's 46th Precinct. NYCHA property in the area is patrolled by P.S.A. 7 at 737 Melrose Avenue in the Melrose section of the Bronx."
60,Wakefield,40.897,-73.852,Bronx,"Wakefield is a working-class and middle-class section of the northern borough of the Bronx in New York City. It is bounded by the city's border with Westchester County to the north, East 222nd Street to the south, and the Bronx River Parkway to the west.
Wakefield is the northernmost neighborhood in New York City (although the city's northernmost point is actually in Riverdale, at the College of Mount Saint Vincent). The neighborhood is part of Bronx Community District 12 and its ZIP Codes are 10466 and 10470. Wakefield is patrolled by the 47th Precinct of the New York City Police Department."
61,Williamsbridge,40.877,-73.866,Bronx,"Williamsbridge is a neighborhood geographically located in the north-central portion of the Bronx in New York City. Its boundaries, starting from the north and moving clockwise are East 222nd Street to the north, Boston Road to the east, East Gun Hill Road to the south, and the Bronx River to the west. White Plains Road is the primary thoroughfare through Williamsbridge.
The neighborhood is part of Bronx Community Board 12 and its ZIP Codes include 10466, 10467, and 10469. The area is patrolled by the 47th Precinct of the New York City Police Department. New York City Housing Authority (NYCHA) property in the area is patrolled by P.S.A. 8 at 2794 Randall Avenue in the Throggs Neck section of the Bronx."
62,Woodlawn,40.898,-73.867,Bronx,"Woodlawn, also known as Woodlawn Heights, is a predominantly Irish-American working class neighborhood at the very north end of the borough of the Bronx in New York City. It is bounded by McLean Avenue to the north (slightly north of New York City's border with the city of Yonkers in Westchester County), the Bronx River to the east, Woodlawn Cemetery to the south, and Van Cortlandt Park to the west.
Woodlawn is part of Bronx Community Board 12, and its ZIP Code is 10470."
63,Arverne,40.59,-73.795,Queens,"Arverne is a neighborhood in the New York City borough of Queens, on the Rockaway Peninsula. It was initially developed by Remington Vernam, whose signature ""R. Vernam"" inspired the name of the neighborhood. Arverne extends from Beach 56th Street to Beach 79th Street, along its main thoroughfare Beach Channel Drive, alternatively known as Rev. Joseph H. May Drive.
Arverne is located in Queens Community District 14 and its ZIP Code is 11692. It is patrolled by the New York City Police Department's 100th Precinct."
64,Astoria,40.767,-73.921,Queens,"Astoria is a middle-class, commercial neighborhood in the New York City borough of Queens. Astoria is bounded by the East River and is adjacent to three other Queens neighborhoods: Long Island City, Sunnyside (bordering at Northern Boulevard), and Woodside (bordering at 50th Street).  As of 2019, Astoria has an estimated population of 95,446.Astoria is located in Queens Community District 1 and its ZIP Codes are 11101, 11102, 11103, 11105, and 11106. It is patrolled by the New York City Police Department's 114th Precinct. Politically, Astoria is represented by the New York City Council's 22nd and 26th Districts."
65,Bayside,40.76,-73.77,Queens,"Bayside is a neighborhood in the New York City borough of Queens. It is bounded by Whitestone to the northwest, the East River to the north, the Long Island Sound and Little Neck Bay to the northeast, Douglaston to the east, Bellerose and Floral Park to the southeast, Queens Village to the south, Hollis to the southwest, and Fresh Meadows to the west.
CNN Money ranked Bayside as one of the most expensive housing markets nationally when analyzing comparable detached homes throughout the United States. Despite its large housing stock of free-standing homes, it nationally ranks high to very high in population density. These homes give the neighborhood a similar feel to other wealthy Queens neighborhoods such as Douglaston and Whitestone.
Bayside is located in Queens Community District 11 and its ZIP Codes are 11360, 11361, and 11364. It is patrolled by the New York City Police Department's 111th Precinct. Politically, Bayside is represented by the New York City Council's 19th and 23rd Districts."
66,Beechhurst,40.79,-73.8,Queens,"Beechhurst is a neighborhood in the northeastern section of the New York City borough of Queens. It is northeast of Whitestone, bordered by the East River to the north, the Cross Island Parkway to the south, and the approaches to the Throgs Neck and Whitestone bridges to the east and west respectively. It is also bordered by the westernmost section of Long Island Sound.
Beechhurst is an affluent area but parts of the neighborhood (such as along 150th and 154th Streets) have a more diverse mix of housing. Beechhurst is part of the 109th police precinct and is part of Queens Community Board 7. The Q15 via 150th Street to Beechhurst provides access to and from the New York City Subway's Flushing–Main Street station (7 and <7>​ trains) on the IRT Flushing Line. The QM2 bus provides express bus service to Manhattan.
During the Silent Movie era, Beechhurst was a favorite vacation area for the rich and famous. Estates lined the waterfront, including the Arthur and Dorothy Dalton Hammerstein House, the former house of Arthur Hammerstein and Dorothy Dalton, which is a New York City designated landmark. The Beechhurst Towers hotel (now a co-op apartment building) was a favorite of actress Mary Pickford and was frequented by many Broadway and early movie stars, including the Marx Brothers and W.C. Fields."
67,Belle Harbor,40.575,-73.85,Queens,"Belle Harbor is a small, affluent residential neighborhood in the New York City borough of Queens, located on the western half of the Rockaway Peninsula, the southernmost area of the borough. Belle Harbor commonly refers to the area from Beach 126th to Beach 141st Streets.The neighborhood is part of Queens Community Board 14. According to the 2010 United States Census, the neighborhood, coupled with nearby Neponsit, had a population just over 5,400. Belle Harbor was the site of the 2001 crash of American Airlines Flight 587, which killed 265 people."
68,Neponsit,40.572,-73.86,Queens,"Neponsit is a small affluent neighborhood located on the western half of the Rockaway Peninsula, the southernmost area of the New York City borough of Queens. The area starts at Beach 142nd Street and ends at Beach 149th Street. It borders the neighborhood of Belle Harbor to the east and Jacob Riis Park on the west. Jamaica Bay and the Atlantic Ocean are the northern and southern borders. The neighborhood is part of Queens Community Board 14. As of January 1, 2007, the neighborhood's population reached just over 2,000, making it one of the smallest communities on the peninsula, as well in the entire borough of Queens."
69,Bellerose,40.735,-73.72,Queens,"Bellerose is a middle class neighborhood on the eastern edge of the New York City borough of Queens, along the border of Queens and Nassau County, Long Island. It is adjacent to Bellerose village and Bellerose Terrace in Nassau County, from which it is separated by Jericho Turnpike. The northern edge of Bellerose is separated from another part of the Nassau border by the neighborhood of Floral Park, Queens to the east, divided by Little Neck Parkway.
The neighborhood consists predominantly of detached houses with mostly Indian American, European American, and working and middle class populations. While the northeastern section of Queens Village is sometimes referred to as part of Bellerose, it is also called Bellerose Manor, which is recognized by the U.S. Postal Service as an ""acceptable alternate"" to Queens Village and Jamaica in postal addresses.Bellerose is located in Queens Community District 13 and its ZIP Code is 11426. It is patrolled by the New York City Police Department's 105th Precinct."
70,Briarwood,40.71,-73.81,Queens,"Briarwood is a middle class neighborhood in the New York City borough of Queens. The neighborhood is roughly bounded by the Van Wyck Expressway to the west, Parsons Boulevard to the east, Union Turnpike to the north, and Hillside Avenue to the south.
Briarwood is named for the Briarwood Land Company, headed by Herbert A. O'Brien, who started developing the area in the first decade of the 20th century. Today, Briarwood contains a diverse community of Asian-American, white, Hispanic, and African-American residents. It is part of Queens Community Board 8."
71,Broad Channel,40.605,-73.82,Queens,"Broad Channel is a neighborhood in the southern portion of the New York City borough of Queens. It occupies the southern portion of Rulers Bar Hassock (known colloquially as ""Broad Channel Island""), the only inhabited island in Jamaica Bay.
The neighborhood stands on Big Egg Marsh, an area of fill approximately 20 blocks long and 4 blocks wide at the south end of Rulers Bar Hassock. The community is an inholding within the Jamaica Bay Wildlife Refuge, managed by the U.S. National Park Service as part of the Gateway National Recreation Area. The area comprises several artificial canals separating dead-end residential blocks. It is connected to the rest of Queens by road and subway bridges.
Broad Channel is located in Queens Community District 14 and its ZIP Code is 11693. It is patrolled by the New York City Police Department's 100th Precinct."
72,Cambria Heights,40.695,-73.735,Queens,"Cambria Heights is a residential neighborhood in the southeastern portion of the New York City borough of Queens. It is bounded by Springfield Boulevard and Francis Lewis Boulevard to the west, the Elmont, Nassau County border on the east, Queens Village to the north, St. Albans to the west, and Montefiore Cemetery and Laurelton, Springfield Gardens and Rosedale to the south. As of 2010, Cambria Heights's population was 18,677. The neighborhood is part of Queens Community Board 13."
73,College Point,40.785,-73.835,Queens,"College Point is a working-middle-class neighborhood in the New York City borough of Queens. It is bounded to the south by Whitestone Expressway and Flushing; to the east by 138th Street and Malba/Whitestone; to the north by the East River; and to the west by Flushing Bay. College Point is a mostly residential ethnically diverse community with some industrial areas. The neighborhood is served by several parks and contains two yacht clubs.
College Point is located in Queens Community District 7 and its ZIP Code is 11356. It is patrolled by the New York City Police Department's 109th Precinct. Politically, College Point is represented by the New York City Council's 19th District.

"
74,Corona,40.73497,-73.86497,Queens,"Corona is a neighborhood in the borough of Queens in New York City. It is bordered by Flushing and Flushing Meadows–Corona Park to the east, Jackson Heights to the west, Forest Hills and Rego Park to the south, Elmhurst to the southwest, and East Elmhurst to the north. Corona's main thoroughfares include Corona Avenue, Roosevelt Avenue, Northern Boulevard, Junction Boulevard, and 108th Street.
Corona has a multicultural population with a Latino majority, and is the site of historic African American and Italian American communities. After World War II, the majority of the neighborhood's residents were mostly Italian, German, Irish and of other European ancestries. Corona also has a significant Chinese population.Corona is mostly part of Queens Community Board 4. The section north of Roosevelt Avenue, called North Corona, is the northern section of Corona and is located in Community Board 3. Corona is patrolled by the 110th and 115th Precincts of the New York City Police Department."
75,Douglaston,40.77,-73.75,Queens,"Douglaston–Little Neck is a neighborhood in the eastern part of the New York City borough of Queens. The community is located on the North Shore of Long Island, bordered to the east by the region of Great Neck in Nassau County, to the south by Glen Oaks and the North Shore Towers, and to the west by Bayside.
The neighborhood is composed of two main sections. Little Neck is generally used to refer to the area east of Marathon Parkway and/or north of Northern Boulevard, while Douglaston is the rest of the neighborhood; these classifications may overlap depending on different interpretations of neighborhood boundaries. Each of these areas has several subsections. Douglaston–Little Neck represents one of the least traditionally urban communities in New York City, with many areas (particularly those north of Northern Boulevard) having a distinctly  suburban feel, similar to that of Nassau County towns located nearby such as Great Neck.
The area is also known for its historical society and other civic groups, notably the Douglaston Civic Association and the Douglas Manor Association. There are two historic districts, Douglas Manor and Douglaston Hill, and two houses, Allen-Beville House and Cornelius Van Wyck House, listed on the National Register of Historic Places in the neighborhood.Douglaston–Little Neck is located in Queens Community District 11 and its ZIP Codes are 11362 and 11363. It is patrolled by the New York City Police Department's 111th Precinct. Politically, Douglaston–Little Neck is represented by the New York City Council's 19th and 23rd Districts."
76,East Elmhurst,40.761,-73.865,Queens,"East Elmhurst is a residential neighborhood in the northwest section of the New York City borough of Queens. It is bounded to the south by Jackson Heights and Corona, to the north and east by Bowery Bay, and to the west by Woodside and Ditmars Steinway. The area includes LaGuardia Airport, located on the shore of Flushing Bay, and Astoria Heights (ZIP Code 11370).
East Elmhurst is part of Queens Community District 3 and its ZIP Codes are 11369, 11370, and 11371. The neighborhood is patrolled by the New York City Police Department's 115th Precinct, though the airport is patrolled by the Port Authority Police Department. East Elmhurst and its southern neighbor Corona are often referred to jointly as ""Corona/East Elmhurst""."
77,Elmhurst,40.74,-73.88,Queens,"Elmhurst (formerly Newtown) is a neighborhood in the borough of Queens in New York City. It is bounded by Roosevelt Avenue on the north; the Long Island Expressway on the south; Junction Boulevard on the east; and the New York Connecting Railroad on the west.Elmhurst is located in Queens Community District 4 and its ZIP Code is 11373. It is patrolled by the New York City Police Department's 110th Precinct. Politically, Elmhurst is represented by the New York City Council's 25th District and small parts of the 21st and 29th Districts."
78,Far Rockaway,40.601,-73.757,Queens,"Far Rockaway is a neighborhood on the eastern part of the Rockaway peninsula in the New York City borough of Queens. It is the easternmost section of the Rockaways. The neighborhood extends from Beach 32nd Street east to the Nassau County line. The southern border is adjacent to Rockaway Beach and Boardwalk, which is located on the Atlantic Ocean.
Far Rockaway is located in Queens Community District 14 and its ZIP Code is 11691. It is patrolled by the New York City Police Department's 101st Precinct."
79,Floral Park,40.72388889,-73.70583333,Queens,"Floral Park is an incorporated village in Nassau County, New York, United States, on Long Island. The neighborhood of Floral Park in the New York City borough of Queens, is adjacent to the village. The village is at the western border of Nassau County, and is located mainly in the Town of Hempstead, while the section north of Jericho Turnpike is within the Town of North Hempstead. The population as of the US Census of 2010 is 15,863."
80,Flushing,40.765,-73.805,Queens,"Flushing is a neighborhood in the north-central portion of the New York City borough of Queens. The neighborhood is the fourth-largest central business district in New York City. Downtown Flushing, a major commercial and retail area centered around the intersection of Main Street and Roosevelt Avenue, is the third-busiest intersection in New York City, behind Times and Herald Squares.Flushing was established as a settlement of New Netherland on October 10, 1645, on the eastern bank of Flushing Creek. It was named Vlissingen, after the Dutch city of Vlissingen. The English took control of New Amsterdam in 1664, and when Queens County was established in 1683, the ""Town of Flushing"" was one of the original five towns of Queens. In 1898, Flushing was consolidated into the City of New York. Development came in the early 20th century with the construction of bridges and public transportation.  An immigrant population, composed mostly of Chinese and Koreans, settled in Flushing in the late 20th century.
Flushing contains numerous residential subsections, and its diversity is reflected by the numerous ethnic groups that reside there. Flushing is served by several stations on the Long Island Rail Road's Port Washington Branch, as well as the New York City Subway's IRT Flushing Line (7 and <7>​ trains), which has its terminus at Main Street. 
Flushing is located in Queens Community District 7, and its ZIP Codes are 11354, 11355, and 11358. It is patrolled by the New York City Police Department's 109th Precinct."
81,Forest Hills,40.715,-73.845,Queens,"Forest Hills is a mostly residential neighborhood in the central portion of the borough of Queens in New York City. The north, east, and south boundaries are the Long Island Expressway (LIE), Grand Central Parkway, and Union Turnpike, respectively. Google Maps shows the western boundary running roughly along 102nd Street, 67th Avenue, and the Long Island Rail Road's former Rockaway Beach Branch; while the Encyclopedia of New York City defines the western boundary as Junction Boulevard and the former Rockaway Beach Branch. The area was originally referred to as ""Whitepot"".Forest Hills has a longstanding association with tennis: the Forest Hills Stadium hosted the U.S. Open until 1978 and the West Side Tennis Club offers grass courts for its members. The area's main commercial street, Austin Street, contains many restaurants and chain stores. Forest Hills is bordered by Flushing Meadows–Corona Park and Forest Park, two of the largest parks in Queens by area.
Forest Hills is located in Queens Community District 6 and its ZIP Code is 11375. It is patrolled by the New York City Police Department's 112th Precinct. Politically, Forest Hills is represented by the New York City Council's 29th District."
82,Fresh Meadows,40.735,-73.78,Queens,"Fresh Meadows is a residential neighborhood in the northeastern section of the New York City borough of Queens. Fresh Meadows u used to be part of the broader town of Flushing and is bordered to the north by the Horace Harding Expressway, to the west by Pomonok, St. John's University and the sub-neighborhoods of Hillcrest and Utopia, to the east by Cunningham Park and the Clearview Expressway, and to the south by the Grand Central Parkway.
Fresh Meadows is located in Queens Community District 8 and its ZIP Codes are 11365 and 11366. It is patrolled by the New York City Police Department's 107th Precinct. Politically, Fresh Meadows is represented by the New York City Council's 23rd and 24th Districts."
83,Glen Oaks,40.75,-73.71,Queens,Glen Oaks is a neighborhood in the easternmost portion of the New York City borough of Queens. The neighborhood is part of Queens Community Board 13.
84,Glendale,40.7,-73.88,Queens,"Glendale is a neighborhood in the west-central portion of the New York City borough of Queens. It is bounded by Forest Hills and Kew Gardens to the east, Ridgewood to the west, Woodhaven to the south, and Middle Village to the north.
Glendale was built on a swampy area previously called Fresh Pond. The neighborhood was later developed into an industrial area, though it is now a more residential neighborhood. Glendale's land area is long on its east-west axis and narrow on its north-south axis. The area is surrounded mainly by cemeteries, although the neighborhood also contains several large parks, including part of Forest Park.
Glendale is located in Queens Community District 5 and its ZIP Code is 11385. It is patrolled by the New York City Police Department's 104th Precinct. Politically, Glendale is represented by the New York City Council's 30th District."
85,Hillcrest,40.735,-73.78,Queens,"Fresh Meadows is a residential neighborhood in the northeastern section of the New York City borough of Queens. Fresh Meadows u used to be part of the broader town of Flushing and is bordered to the north by the Horace Harding Expressway, to the west by Pomonok, St. John's University and the sub-neighborhoods of Hillcrest and Utopia, to the east by Cunningham Park and the Clearview Expressway, and to the south by the Grand Central Parkway.
Fresh Meadows is located in Queens Community District 8 and its ZIP Codes are 11365 and 11366. It is patrolled by the New York City Police Department's 107th Precinct. Politically, Fresh Meadows is represented by the New York City Council's 23rd and 24th Districts."
86,Hollis,40.71,-73.76,Queens,"Hollis is a residential middle-class neighborhood within the southeastern section of the New York City borough of Queens. While a predominantly African-American community, there are small minorities of Hispanics and South Asians residing in the area. Boundaries are considered to be 181st Street to the west, Hillside Avenue to the north, Francis Lewis Boulevard to the east, and Murdock Avenue to the south. Hollis is located between Jamaica to the west and Queens Village to the east.
Hollis is located in Queens Community District 12 and its ZIP Codes are 11423 and 11412. It is patrolled by the New York City Police Department's 103rd Precinct. Politically, Hollis is represented by the New York City Council's 23rd and 27th Districts."
87,Hollis Hills,40.715,-73.74,Queens,"Queens Village is a mostly residential middle class neighborhood in the eastern part of the New York City borough of Queens. It is bound by Hollis to the west, Cambria Heights to the south, the town of New Hyde Park to the east, and Oakland Gardens to the north.
Shopping in the community is located along Braddock Avenue, Hillside Avenue, Hempstead Avenue, and Jamaica Avenue (NY 25), as well as on Springfield Boulevard. Located just east of Queens Village, in Nassau County, is the Belmont Park race track.
Close to the neighborhood are Cunningham Park and Alley Pond Park, as well as the historic Long Island Motor Parkway (LIMP), home of the turn of the century racing competition, the Vanderbilt Cup. The LIMP was built by William Kissam Vanderbilt, a descendant of the family that presided over the New York Central Railroad and Western Union; it is now part of the Brooklyn-Queens Greenway.
Queens Village is located in Queens Community District 13 and its ZIP Codes are 11411, 11427, 11428, and 11429. It is patrolled by the New York City Police Department's 105th Precinct. Politically, Queens Village is represented by the New York City Council's 23rd District."
